Compound index,SMILES,blood mean60min,bone mean60min,brain mean60min,fat mean60min,heart mean60min,intestine mean60min,kidney mean60min,liver mean60min,lung mean60min,muscle mean60min,pancreas mean60min,spleen mean60min,stomach mean60min,uterus mean60min
1011-18F Biotion1,[C@H]12NC(=O)N[C@H]1CS[C@@H]2CCCCC(=O)NCCCF,0.14,2.94,,,0.14,,0.23,0.13,0.11,0.78,,0.14,,
1011-18F Biotion2,[C@H]12NC(=O)N[C@H]1CS[C@@H]2CCCCCF,0.3,1.17,,,0.28,,0.57,0.42,0.58,0.35,,0.26,,
1012-18F3a,FCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,0.19,7.3,,,23.2,11.29,12.68,1.3,3.7,4.53,10.09,2.94,5.58,
1013-18F1,CN(C)c1ccc(/C=C/c2cn(CCF)nn2)cc1,1.27,0.94,0.52,,0.81,,3.7,3.47,1.04,0.51,,0.6,,
1013-18F5,CC(=O)c1cc(/C=C/c2ccc(OCCCF)cc2)cc(C(C)=O)c1,0.43,9.73,1.13,,0.56,,2.76,2.47,1.08,0.74,,0.84,,
1015-18F12a,CNc1ccc(/C=C/c2ccc(OCCOCCF)cc2)cc1,2.51,1.77,1.61,,2.13,,5.68,13.2,3.04,1.45,,1.48,,
1015-18F12b,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)cc2)cc1,2.04,1.71,2.6,,,,,,,,,,,
1015-18F12c,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCF)cc2)cc1,1.81,0.98,1.2,,,,,,,,,,,
1015-18F12d,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCF)cc2)cc1,2.89,1.66,1.77,,,,,,,,,,,
1019-18F3a,Nc1ccc(/N=C/c2ccc(F)cc2)cc1,,,,,,,,,,,,,,
1019-18F3b,CNc1ccc(/N=C/c2ccc(F)cc2)cc1,,,,,,,,,,,,,,
1019-18F3c,CN(C)c1ccc(/N=C/c2ccc(F)cc2)cc1,,,,,,,,,,,,,,
1019-18F3d,Oc1ccc(/N=C/c2ccc(F)cc2)cc1,,,,,,,,,,,,,,
1019-18F3e,COc1ccc(/N=C/c2ccc(F)cc2)cc1,,,,,,,,,,,,,,
1019-18F3f,O=C(O)c1c(O)ccc(/N=C/c2ccc(F)cc2)c1,,,,,,,,,,,,,,
1026-218F,O=C(NC1CCN(Cc2ccc(F)cc2)CC1)c1ccc(I)cc1,0.023,0.531,1.313,0.744,0.478,,1.656,7.005,2.036,0.162,,2.274,,
