SMILES,logBB
[2H]C([2H])(F)C([2H])([2H])Oc1ccccc1OC(c1ccccc1)C1CNCCO1,-0.113509275
[2H]C([2H])(F)Oc1ccc(-n2c(CCN3C(=O)c4cccc(OC(C)C)c4C3=O)nc3cc(C)ccc3c2=O)cc1,0.214843848
C#C[C@@]1(O)C2C[C@H](OC)C3c4ccc(O)cc4CCC3C2C[C@H]1F,0.10720997
C#C[C@@]1(O)C2CCC3c4ccc(O)cc4CCC3C2C[C@H]1F,0.264817823
C#C[C@]1(O)[C@@H](F)CC2C3CCc4cc(O)ccc4C3[C@@H](OC)C[C@@]21C,0.068185862
C#C[C@]1(O)C2CCC3c4ccc(O)cc4CCC3C2C[C@H]1F,-0.26760624
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCF)cc23)c1,-0.602059991
C.Cc1ccc(C2CCN(c3ccn(CC4C=C4)c(=O)c3C#N)CC2)cc1,-0.337242168
C.O=C1C(=O)N(Cc2ccc(OCCF)cc2)c2ccc(S(=O)(=O)N3CCC[C@H]3COc3ccccc3)cc21,-0.301029996
C[C@@](N)(/C=C/I)C(=O)O,-0.13667714
C[C@@](N)(CCCF)C(=O)O,-0.657577319
C[C@@](N)(F)C(=O)O,-0.397940009
C[C@@]1(c2ccc(F)cc2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@]5(C)C4CC[C@]3(C)[C@]2(C(=O)CO)O1,0.117271296
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1C(=O)CF,0.096910013
C[C@](N)(/C=C/Br)C(=O)O,-0.508638306
C[C@](N)(CCCCCF)C(=O)O,-0.677780705
C[C@](N)(CCCF)C(=O)O,-0.657577319
C[C@](N)(F)C(=O)O,-0.823908741
C[C@]1(C(=O)O)CCC2c3ccc(O)cc3CCC2[C@@H]1CCF,-1.15490196
C[C@]1(C(=O)O)CCC2c3ccc(O)cc3CCC2[C@H]1CCF,-1.522878745
C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC1C2[C@@H](O)C[C@@]2(C)C1CC[C@]2(O)C(=O)CF,0.602059991
C[C@]12CCC3C(CCC4=CC(=O)CC[C@@H]43)C1C[C@H]1OC(c3ccco3)O[C@]12C(=O)CF,0.176091259
C[C@]12CCC3C(CCC4=CC(=O)CC[C@@H]43)C1C[C@H]1OC(c3ccoc3)O[C@]12C(=O)CF,0.176091259
C[C@]12CCC3c4cc(F)c(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,-0.22184875
C[C@]12CCC3c4ccc(O)c(F)c4CCC3C1C[C@@H](F)[C@@H]2O,-0.420216403
C[C@]12CCC3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)(=O)CCCC(F)(F)C(F)(F)F)C3C1C[C@@H](F)[C@@H]2O,-0.585026652
C[C@]12CCC3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1C[C@@H](F)[C@@H]2O,-0.602059991
C[C@]12CCC3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CC[C@@H]2O,-0.37675071
C[C@]12CCC3c4ccc(O)cc4C[C@@H](CCCCCCCCCSCCCC(F)(F)C(F)(F)F)C3C1C[C@@H](F)[C@@H]2O,-1.698970004
C[C@]12CCC3c4ccc(O)cc4CCC3C1C[C@@H](F)[C@@H]2O,-0.37675071
C[C@H]([NH3+])[B-](F)(F)F,-0.920818754
C[C@H](c1ccc(Br)cc1)n1cncc1C(=O)OCCCF,-0.301029996
C[C@H](c1ccc(Br)cc1)n1cncc1C(=O)OCCF,-0.080921908
C[C@H](c1ccc(Cl)cc1)n1cncc1C(=O)OCCF,-0.075720714
C[C@H](c1ccccc1)n1cncc1C(=O)OCCF,-0.075720714
C[C@H](CS)C(=O)N1C[C@@H](F)C[C@H]1C(=O)O,-0.229147988
C[C@H](NC(=O)c1cc(Cl)ccc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,-1.15490196
C[C@H]1[C@@H](O)C(CO)OC(O)[C@@H]1NC(=O)CF,-1.045757491
C[N+](C)(C)c1ccc(-c2ccc(F)cc2)cc1,-1.045757491
C[N+](C)(C)c1ccc(F)cc1,-1.045757491
C[N+](C)(C)CCO,-0.113509275
C[N+](C)(Cc1cn(CC(=O)NC2CCN(CC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3CCC[C@@H]3C(=O)N3CC(O)C[C@H]3C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N3Cc4ccccc4CC3C(=O)N[C@H](C(=O)O)C3CCCC3)C3CCCC3)CC2)nn1)C[B-](F)(F)F,-1.522878745
C[N+](C)(Cc1cn(CC(=O)NC2CCN(CC(=O)N[C@@H](CCCCN)C(=O)NC(CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3CCC[C@@H]3C(=O)N3CC(O)C[C@H]3C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N3C4=C(CCCC4)CC3C(=O)O)C3Cc4ccccc4C3)C3Cc4ccccc4C3)CC2)nn1)C[B-](F)(F)F,-1.522878745
C[N+](C)(CCCCn1ccnc1[N+](=O)[O-])C[B-](F)(F)F,-1.301029996
C[N+](C)(CF)CCO,-0.27572413
C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],-1.0
C=CCN1CCC[C@@H]1CNC(=O)c1cc(CCCF)cc(OC)c1OC,-0.283996656
CC([NH3+])(Cc1ccc(F)cc1)C(=O)O,0.012837225
CC(=O)[C@@]12O[C@](C)(c3ccc(F)cc3)O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]12C,0.075546961
CC(=O)[C@@]12OC(C)(c3cccc(F)c3)O[C@@H]1CC1C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@@]12C,0.075546961
CC(=O)[C@@H](N)Cc1c[nH]c2ccc(OCCCF)cc12,-0.387216143
CC(=O)[C@@H]1CCCC2C3C[C@@H](F)C4=CC(=O)CC[C@@]4(C)C3CC[C@]21C,-0.124938737
CC(=O)c1cnc2ccc(-c3cc(Cl)c(OCF)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,-0.244125144
CC(=O)N(Cc1ccccc1OCF)c1cnccc1Oc1ccccc1,-0.070581074
CC(=O)OC[C@@]1(C)O[C@](C)(F)[C@](C)(F)[C@@](C)(OC(C)=O)[C@]1(C)OC(C)=O,0.133538908
