compound index,SMILES,PMID,animal type,gender,animal weight (g),injection dosage (μCi),logBB at60min,brain at60min,blood at60min,liver at60min,lung at60min,kidney at60min,muscle at60min,spleen at60min,intestine at60min,bone at60min,stomach at60min,uterus at60min,heart at60min,fat at60min,pancreas at60min,ref No,DOI
1011-18F Biotion1,O=C(CCCC[C@H]1SC[C@@H]2NC(=O)N[C@@H]21)NCCCF,7931672,SD rat,male,138.0,115000.0,,,0.14,0.13,0.11,0.23,0.78,0.14,,2.94,,,0.14,,,1011,
1011-18F Biotion2,O=C1N[C@H]2[C@H](CS[C@@H]2CCCCCF)N1,7931672,SD rat,male,138.0,115000.0,,,0.3,0.42,0.58,0.57,0.35,0.26,,1.17,,,0.28,,,1011,
1012-18F3a,FCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,22264022,BALB/c mouse,,19.0,19.98,,,0.19,1.3,3.7,12.68,4.53,2.94,11.29,7.3,5.58,,23.2,,10.09,1012,10.1021/bc2004439
1013-18F1,CN(C)c1ccc(/C=C/c2cn(CCF)nn2)cc1,22236086,ICR mouse,male,28.0,30.0,-0.89,0.52,1.27,3.47,1.04,3.7,0.51,0.6,,0.94,,,0.81,,,1013,10.1021/jm201400q
1013-18F5,COc1cc(/C=C/c2ccc(OCCCF)cc2)cc(OC)c1,22236086,ICR mouse,male,28.0,30.0,0.97,1.13,0.43,2.47,1.08,2.76,0.74,0.84,,9.73,,,0.56,,,1013,10.1021/jm201400q
1015-18F12a,CNc1ccc(/C=C/c2ccc(OCCOCCF)cc2)cc1,16253804,ICR mouse,male,24.0,7.5,-0.44,1.61,2.51,13.2,3.04,5.68,1.45,1.48,,1.77,,,2.13,,,1015,10.1016/j.nucmedbio.2005.06.001
1015-18F12b,CNc1ccc(/C=C/c2ccc(OCCOCCOCCF)cc2)cc1,16253804,ICR mouse,male,24.0,7.5,0.24,2.6,2.04,,,,,,,1.71,,,,,,1015,10.1016/j.nucmedbio.2005.06.001
1015-18F12c,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCF)cc2)cc1,16253804,ICR mouse,male,24.0,7.5,-0.41,1.2,1.81,,,,,,,0.98,,,,,,1015,10.1016/j.nucmedbio.2005.06.001
1015-18F12d,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCF)cc2)cc1,16253804,ICR mouse,male,24.0,7.5,-0.49,1.77,2.89,,,,,,,1.66,,,,,,1015,10.1016/j.nucmedbio.2005.06.001
1019-18F3a,Nc1ccc(/N=C/c2ccc(F)cc2)cc1,19217522,ICR mouse,male,28.0,1.5,,,,,,,,,,,,,,,,1019,10.1016/j.nucmedbio.2008.11.004
1019-18F3b,CNc1ccc(/N=C/c2ccc(F)cc2)cc1,19217522,ICR mouse,male,28.0,1.5,,,,,,,,,,,,,,,,1019,10.1016/j.nucmedbio.2008.11.004
1019-18F3c,CN(C)c1ccc(/N=C/c2ccc(F)cc2)cc1,19217522,ICR mouse,male,28.0,1.5,,,,,,,,,,,,,,,,1019,10.1016/j.nucmedbio.2008.11.004
1019-18F3d,Oc1ccc(/N=C/c2ccc(F)cc2)cc1,19217522,ICR mouse,male,28.0,1.5,,,,,,,,,,,,,,,,1019,10.1016/j.nucmedbio.2008.11.004
1019-18F3e,COc1ccc(/N=C/c2ccc(F)cc2)cc1,19217522,ICR mouse,male,28.0,1.5,,,,,,,,,,,,,,,,1019,10.1016/j.nucmedbio.2008.11.004
